filename,sha1,sha256,size_bytes,title,game_code,cgb_flag,cart_type,rom_size_code,ram_size_code,destination_code,revision,header_checksum,global_checksum,header_checksum_ok,global_checksum_ok,all_zero_16k_banks,largest_zero_run_start,largest_zero_run_end_exclusive,largest_zero_run_bytes,zero_run_policy
Pocket Monsters - Crystal Version (Japan).gbc,95127b901bbce2407daf43cce9f45d4c27ef635d,136ada06cb68656b7de475fa4b278d37dbeff8f5257e7dfdf7f4a4aec19a90f3,2097152,PM_CRYSTAL,BXTJ,0xC0,0x10,0x06,0x05,0x00,0,0x22,0x9A40,true,true,"60 61 62 63 64 65 66 67 68 69 6A 6B 6C 6D 6E 6F 70 71 72 73 74 75 76 77 78 79 7A 7B 7C",0x17FFDF,0x1F4000,475169,candidate_only_not_proven_free_space
"Pokemon - Crystal Version (USA, Europe) (Rev A).gbc",f2f52230b536214ef7c9924f483392993e226cfb,fdcc3c8c43813cf8731fc037d2a6d191bac75439c34b24ba1c27526e6acdc8a2,2097152,PM_CRYSTAL,BYTE,0xC0,0x10,0x06,0x03,0x01,1,0x26,0x18D2,true,true,"75 76 79 7A",0x1E1000,0x1EC001,45057,candidate_only_not_proven_free_space
"Pokemon - Crystal Version (USA, Europe).gbc",f4cd194bdee0d04ca4eac29e09b8e4e9d818c133,d6702e353dcbe2d2c69183046c878ef13a0dae4006e8cdff521cca83dd1582fe,2097152,PM_CRYSTAL,BYTE,0xC0,0x10,0x06,0x03,0x01,0,0x27,0x129F,true,true,"75 76 79 7A",0x1E1000,0x1EC001,45057,candidate_only_not_proven_free_space
Pokemon - Edicion Cristal (Spain).gbc,889a06fc0bb863666865aa69def0adf97945ac2a,4aacb5b3ac7a741d99f507e7c31393c015dea26a3ce8876021c50e7c761c1141,2097152,PM_CRYSTAL,BYTS,0xC0,0x10,0x06,0x03,0x01,0,0x19,0x42F4,true,true,7A,0x1E4950,0x1EC001,30385,candidate_only_not_proven_free_space
Pokemon - Kristall-Edition (Germany).gbc,accb584293ba056152f1fd908439b019017ff2fe,22c0dfec9ce004dceebe280d71fa2579fa376064f70284bbf46322e163aa1160,2097152,PM_CRYSTAL,BYTD,0xC0,0x10,0x06,0x03,0x01,0,0x28,0x4982,true,true,7A,0x1E4A42,0x1EC001,30143,candidate_only_not_proven_free_space
Pokemon - Version Cristal (France).gbc,c055992b16b7399c687647725cdd1f4f13a2f75c,178b0da870a3cc58414940412eb6473f515b8941cb83d81a1a42d05ca82749e7,2097152,PM_CRYSTAL,BYTF,0xC0,0x10,0x06,0x03,0x01,0,0x26,0xF2E2,true,true,7A,0x1E49B7,0x1EC001,30282,candidate_only_not_proven_free_space
Pokemon - Versione Cristallo (Italy).gbc,6cee05e5b95beeae74b8365ad18ec4a07a8c4af8,2592aef20701fa1d5df5cf3343ffb4293092c911177868fa4a94698c27f7be89,2097152,PM_CRYSTAL,BYTI,0xC0,0x10,0x06,0x03,0x01,0,0x23,0xDBBA,true,true,7A,0x1E499D,0x1EC001,30308,candidate_only_not_proven_free_space
